Plot;Species;DBH(cm);Height(m);AgeClass;Age
1;Baccharis uncinella;7,01575497;3;Inicial;18
1;Symplocos uniflora;3,183098862;3;Inicial;18
1;Symplocos uniflora;5,955117756;3;Inicial;18
1;Ocotea pulchella;5,656251139;4;Inicial;18
1;Symplocos uniflora;3,081200238;3;Inicial;18
1;Vernonanthura discolor;6,525352667;5;Inicial;18
1;Ilex theezans;3,810157371;6;Inicial;18
2;Matayba elaeagnoides;4,557503993;4;Inicial;18
2;Aiouea amoena;4,612748483;4;Inicial;18
2;Clethra scabra;6,405862891;4;Inicial;18
2;Clethra scabra;5,912343728;4;Inicial;18
2;Aiouea amoena;4,377889343;3.5;Inicial;18
2;Vernonanthura discolor;12,47819414;5.5;Inicial;18
2;Aiouea amoena;5,355274132;4;Inicial;18
2;Myrsine coriacea;9,963099438;7;Inicial;18
2;Ocotea pulchella;3,183098862;3.7;Inicial;18
2;Mimosa scabrella;13,78281807;9.5;Inicial;18
2;Mimosa scabrella;13,11436731;9.4;Inicial;18
2;Mimosa scabrella;9,232358623;6;Inicial;18
2;Aiouea amoena;10,70141552;5.5;Inicial;18
2;Aiouea amoena;5,055518626;3;Inicial;18
2;Matayba elaeagnoides;4,840508622;3;Inicial;18
2;Aiouea amoena;5,092958179;3;Inicial;18
2;Aiouea amoena;6,843662553;4;Inicial;18
2;Aiouea amoena;4,016889156;3;Inicial;18
2;Ocotea pulchella;3,833090769;3.5;Inicial;18
2;Araucaria angustifolia;16,93408594;9;Inicial;18
2;Ocotea pulchella;4,13802852;5;Inicial;18
2;Aiouea amoena;6,360226613;3.5;Inicial;18
2;Piptocarpha angustifolia;4,977963628;4.5;Inicial;18
2;Vernonanthura discolor;19,04613262;11;Inicial;18
2;Ocotea pulchella;4,028852643;3.5;Inicial;18
2;Araucaria angustifolia;27,18366428;13;Inicial;18
2;Ocotea pulchella;6,047887837;4.5;Inicial;18
2;Aiouea amoena;2,742826623;3;Inicial;18
2;Aiouea amoena;3,91766932;3;Inicial;18
3;Mimosa scabrella;18,68479032;7;Inicial;20
3;Vernonanthura discolor;16,71126902;8;Inicial;20
3;Araucaria angustifolia;7,193803428;5.5;Inicial;20
3;Mimosa scabrella;14,10112796;8;Inicial;20
3;Clethra scabra;14,69318435;5.5;Inicial;20
3;Erythroxylum deciduum;3,756056657;3;Inicial;20
3;Clethra scabra;6,748169587;5.5;Inicial;20
3;Clethra scabra;5,729577951;5.5;Inicial;20
3;Ocotea pulchella;3,278591828;4;Inicial;20
3;Araucaria angustifolia;20,1490158;9;Inicial;20
3;Ocotea pulchella;3,087605896;3;Inicial;20
4;Myrsine coriacea;5,729577951;5;Inicial;21
4;Symplocos tenuifolia;4,540688016;3;Inicial;21
4;Schinus terebinthifolia;3,342253805;4;Inicial;21
4;Symplocos tenuifolia;5,507496958;3;Inicial;21
4;Symplocos tenuifolia;4,23782725;4;Inicial;21
4;Baccharis sp.;2,355493158;3;Inicial;21
4;Symplocos tenuifolia;15,24332173;3;Inicial;21
